ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.047189258905454,134.74757702135068,9000.013854201014,9.20738052454166,333.74155726128356,428.2055692936047,8.634878397173974,74.69590128890948,3.5488903668347858,1
7.683156515101875,221.57534727835315,25475.8848438926,9.914965569441655,333.7757766108135,372.8039093210936,12.05443923959774,51.89250007728792,4.78132309399482,0
5.897391120843136,172.03438531654584,30575.357138474,8.649614737162615,393.554892238793,426.5058342925407,16.311658241895543,74.54398066731065,2.961602417916417,0
9.677071440020633,188.3610717003329,26402.791810881638,4.276149539057123,396.0416218771155,324.8438196018714,16.957289794409476,91.37052981335688,2.9056123790648374,0
6.34618460484281,125.00145194984958,31114.653610373287,5.724802983312637,334.02229476276966,396.6926296536701,18.410512072406476,73.10790607216343,4.37323916454893,0
5.5406699558775,192.05246817098768,12137.171617022816,5.3697528915392745,433.02733118192765,405.51674879779085,8.413982922517878,54.866162087291855,4.614699056519729,1
10.485603647205735,136.57738115579482,32872.38056577991,8.399435299469037,276.92183480609395,416.1885459071077,18.88462464794526,60.07841278280955,4.669239858306086,1
5.675294715190149,228.59039232873857,39172.38964292974,6.014737758938236,333.7757766108135,330.0786127914452,11.42337702465636,59.267099212481725,5.021464632411663,1
7.0833378931073945,163.9572402153134,19516.89804220056,7.178777063568561,393.8409174720816,587.841580613715,14.842673498687418,69.0068562790257,4.169924018257802,0
8.227083130096286,274.351886995951,40546.956331528825,7.130161148170633,241.44691729106995,417.6737022460746,9.809669141814254,79.39710488560058,3.619181847561858,1
3.854617678402051,131.396253059016,19639.79600228036,7.753502379748802,305.3829137083549,456.51227379334506,16.86472165193419,81.52612291427974,4.2904350458230125,0
11.491010908391427,94.81254521783356,37188.826021934,9.263166160944529,258.930600411521,439.8936179168196,16.17275544496954,41.55850071766692,4.369264314437881,1
7.0833378931073945,171.6950224337254,38971.05101037508,8.365578507652103,385.9537304221227,397.4417128034464,17.20160786765331,73.64699560645042,2.6432124116405253,0
7.0833378931073945,184.21824468861465,32328.53826419384,8.381231469207194,333.7757766108135,452.8902973724083,12.167905446211648,79.9378458756982,5.03749221567298,0
8.580008559294866,174.50681953512432,6493.547256349771,7.040727474579704,409.380908413492,403.5966313898296,16.122667861870184,52.16677279737275,3.195591056480895,0
7.610509210594297,208.8178120262024,34538.54403773854,5.6006199545881366,301.7872407090358,470.7403122826415,15.668907691165655,35.36505392135586,4.692217919448618,0
7.811512445222393,258.8916011614203,20911.904666062124,6.361756274566996,289.1421748787793,421.1330347716793,9.631649747296876,71.70322700573531,4.546070210293161,0
7.451732657432261,227.15423298510825,26559.47048682509,5.541068946118758,300.69492247153255,332.11119089409635,15.940301150859268,28.67972820881505,3.8258241585928343,1
5.088305661111246,186.64119612164433,18655.585676334507,6.9112614754234825,333.81266147679867,379.5958962401937,17.620381195242423,58.7479991879725,4.078293114886864,0
3.7798458947191516,186.85312844945372,19988.645954420426,7.301739124374599,333.875145732731,483.2670311722878,13.526978362015276,74.26408201004203,3.6549176387670412,0
7.344733029814303,213.18342474560444,18452.065255630296,8.213742980258585,294.2238366778924,496.19755509342343,10.49060534237796,94.79498432616329,3.4836911703344677,1
6.973693737592964,218.45756416091945,42061.27716303747,6.268940168559791,324.53563496518575,503.19464279793976,15.71384797691654,48.36478622231488,4.24466781500966,0
7.285371191083492,169.1491900053623,17375.97074480394,9.40468730726088,394.0924239939014,373.1902821490745,15.26050985862264,80.79598527078593,3.6944820469170487,0
7.0833378931073945,205.33854557594853,25142.73373834488,5.63950107310841,296.0912731919874,528.2800235575677,12.911509226527585,69.5267180012222,4.894829651096215,0
7.0833378931073945,142.27741265590265,21208.61828519181,9.502685366042252,333.7757766108135,429.6901556789518,16.29271779778753,58.962902387660215,2.60151758888062,1
